vidid,start_time,end_time,round_start,round_end
y8v3OQ-qs9M,55,175,0,200
y8v3OQ-qs9M,212,309,200,311
y8v3OQ-qs9M,367,488,311,506
y8v3OQ-qs9M,517,622,506,624
y8v3OQ-qs9M,676,797,624,815
y8v3OQ-qs9M,829,962,815,969
y8v3OQ-qs9M,2382,2507,2298,2525
y8v3OQ-qs9M,2622,2776,2525,2800
y8v3OQ-qs9M,2856,2994,2800,3033
aKYw4fL4xmY,504,629,0,648
aKYw4fL4xmY,1027,1236,648,1255
aKYw4fL4xmY,1420,1530,1255,1544
aKYw4fL4xmY,1599,1686,1544,1703
aKYw4fL4xmY,1834,1924,1703,1943
aKYw4fL4xmY,2067,2214,1943,2233
aKYw4fL4xmY,2326,2478,2233,2479
aKYw4fL4xmY,2982,3078,2479,3096
iNv1UUmqGF8,50,308,0,330
iNv1UUmqGF8,346,554,330,570
iNv1UUmqGF8,591,70,570,765
4MqpdwZF61k,73,350,0,370
4MqpdwZF61k,388,548,370,570
4MqpdwZF61k,597,748,570,772
4MqpdwZF61k,808,955,772,972
4MqpdwZF61k,1018,1207,972,1225
4MqpdwZF61k,1249,1346,1225,1402
tRaGKgqxM-0,32,235,0,258
tRaGKgqxM-0,289,370,258,390
tRaGKgqxM-0,409,505,390,523
tRaGKgqxM-0,552,715,523,736
tRaGKgqxM-0,754,906,736,924
tRaGKgqxM-0,949,1102,924,1120
tRaGKgqxM-0,1146,1310,1120,1340
tRaGKgqxM-0,1356,1485,1340,1508
tRaGKgqxM-0,1552,1684,1508,1702
tRaGKgqxM-0,1732,1864,1702,2000
ij2z6QnrYmM,49,216,0,235
ij2z6QnrYmM,244,331,235,345
ij2z6QnrYmM,179,471,345,488
ij2z6QnrYmM,503,626,488,640
ij2z6QnrYmM,656,740,640,752
ij2z6QnrYmM,767,880,752,892
nsBpMbo7O7Q,343,1032,0,1050
avN9cD6lx68,4,179,0,189
2fta1NfXxkg,42,143,0,153
2fta1NfXxkg,156,237,153,245
2fta1NfXxkg,250,358,245,384
imGtJeEG6cc,4,31,0,42
72uKAEaTXWw,4,54,0,64
cWYJr4iBEZo,4,37,0,47
o0s4jGrYfso,2,67,0,77
U6PNCRxrD7U,4,102,0,111
jmXdHA-2pgU,2,156,0,150
Pv4T7N_Gy4g,4,18,0,29
1mPEj1T_VO0,4,121,0,130
pPBcejojln4,4,191,0,200
