vidid,start_time,end_time,round_start,round_end
drBfsroVfeo,4,120,0,127
hsZuvS9dfQE,4,75,0,84
dq5B00_NieA,4,98,0,105
OfunollAvm8,4,92,0,100
SXSTpUSaluc,4,125,0,132
aKYw4fL4xmY,503,628,0,648
aKYw4fL4xmY,1025,1233,648,1255
aKYw4fL4xmY,1417,1525,1255,1544
aKYw4fL4xmY,1595,1681,1544,1703
aKYw4fL4xmY,1829,1919,1703,1943
aKYw4fL4xmY,2061,2208,1943,2233
aKYw4fL4xmY,2319,2471,2233,2479
aKYw4fL4xmY,2973,3069,2479,3096
iNv1UUmqGF8,50,308,0,330
iNv1UUmqGF8,346,553,330,570
iNv1UUmqGF8,591,708,570,765
irYpabOu1e8,4,245,0,256
irYpabOu1e8,259,385,256,396
dRJw_Y8QAeI,96,300,0,311
dRJw_Y8QAeI,313,470,311,490
dRJw_Y8QAeI,544,667,490,681
xicW1KFV4QI,36,156,0,172
xicW1KFV4QI,225,365,172,383
xicW1KFV4QI,405,525,383,564
xicW1KFV4QI,1894,2037,1847,2075
khxv0plMgfg,87,187,0,210
khxv0plMgfg,302,539,210,570
khxv0plMgfg,655,906,570,925
LRtlstGV_mY,34,200,0,213
v4pjcN2L288,46,255,0,355
v4pjcN2L288,404,675,355,712
v4pjcN2L288,722,845,712,927
v4pjcN2L288,958,1328,927,1350
y8v3OQ-qs9M,55,176,0,200
y8v3OQ-qs9M,212,309,200,311
y8v3OQ-qs9M,368,488,311,506
y8v3OQ-qs9M,518,622,506,624
y8v3OQ-qs9M,677,798,624,815
y8v3OQ-qs9M,830,962,815,969
y8v3OQ-qs9M,2385,2510,2298,2525
y8v3OQ-qs9M,2625,2778,2525,2800
y8v3OQ-qs9M,2859,2997,2800,3033
4MqpdwZF61k,73,350,0,370
4MqpdwZF61k,389,547,370,570
4MqpdwZF61k,597,748,570,772
4MqpdwZF61k,809,954,772,972
4MqpdwZF61k,1010,1206,972,1225
4MqpdwZF61k,1250,1345,1225,1402
tRaGKgqxM-0,32,236,0,258
tRaGKgqxM-0,290,371,258,390
tRaGKgqxM-0,410,506,390,523
tRaGKgqxM-0,552,715,523,736
tRaGKgqxM-0,754,906,736,924
tRaGKgqxM-0,949,1102,924,1120
tRaGKgqxM-0,1147,1311,1120,1340
tRaGKgqxM-0,1357,1486,1340,1508
tRaGKgqxM-0,1553,1684,1508,1702
tRaGKgqxM-0,1733,1865,1702,2000
ij2z6QnrYmM,49,215,0,235
ij2z6QnrYmM,244,330,235,345
ij2z6QnrYmM,502,624,488,640
ij2z6QnrYmM,655,739,640,752
ij2z6QnrYmM,766,879,752,892
nsBpMbo7O7Q,343,1032,0,1050
avN9cD6lx68,4,179,0,189
2fta1NfXxkg,42,143,0,153
2fta1NfXxkg,156,237,153,245
2fta1NfXxkg,250,358,245,384
imGtJeEG6cc,4,31,0,42
72uKAEaTXWw,4,54,0,64
cWYJr4iBEZo,4,37,0,47
o0s4jGrYfso,4,68,0,77
U6PNCRxrD7U,4,102,0,111
jmXdHA-2pgU,4,156,0,150
Pv4T7N_Gy4g,4,18,0,29
1mPEj1T_VO0,4,121,0,130
pPBcejojln4,4,191,0,200
pf-J-k-_IR0,431,578,1,720
pf-J-k-_IR0,900,986,720,1010
pf-J-k-_IR0,1036,1142,1010,1140
pf-J-k-_IR0,1165,1308,1140,1340
pf-J-k-_IR0,1654,1791,1340,1813
pf-J-k-_IR0,1834,1877,1813,1905
pf-J-k-_IR0,1919,2022,1905,2050
pf-J-k-_IR0,2276,2392,2050,2426
pf-J-k-_IR0,2492,2598,2426,2632
pf-J-k-_IR0,2694,2853,2632,2880
pf-J-k-_IR0,2971,3163,2880,3200
pf-J-k-_IR0,3260,3412,3200,3454
pf-J-k-_IR0,3640,3811,3454,3839
pf-J-k-_IR0,3902,4085,3839,4115
pf-J-k-_IR0,4164,4241,4115,4271
pf-J-k-_IR0,4354,4524,4271,4559
pf-J-k-_IR0,4840,4949,4814,4983
pf-J-k-_IR0,5090,5290,4983,5334
pf-J-k-_IR0,5909,6140,5334,6197
pf-J-k-_IR0,6231,6427,6197,6480
pf-J-k-_IR0,6519,6760,6480,6808
pf-J-k-_IR0,6967,7125,6940,7159
